(CHEM 516, LEC 1, TR, 10:00AM, 11:15AM, Salman Noshear Arshad)
(CHEM 521, LEC 1, TR, 8:00AM, 9:15AM, Ghayoor Abbas Chotana)
(CHEM 531, LEC 1, TR, 1:00PM, 2:15PM, Irshad Hussain)
(CHEM 532, LEC 1, TR, 3:00PM, 4:15PM, Muhammad Saeed)
(CHEM 721, LEC 1, TR, 12:00PM, 1:15PM, Ghayoor Abbas Chotana)
(CHEM 731, LEC 1, TR, 8:00AM, 9:15AM, Irshad Hussain)
(CLCS 1000, LEC 1, MW, 11:30AM, 1:20PM, Maryam Wasif Khan)
(CLCS 2113, LEC 1, TR, 12:00PM, 1:50PM, Maryam Wasif Khan)
(CLCS 2119, LEC 1, TR, 2:00PM, 3:50PM, Bilal Tanweer)
(CLCS 2122, LEC 1, TR, 4:30PM, 6:20PM, Zia Ul Hassan)
(CLCS 2123, LEC 1, MW, 4:00PM, 5:50PM, Nasir Abbas)
(CLCS 2514, LEC 1, WF, 4:30PM, 6:20PM, Ghulam Moeenuddin)
(CLCS 3127, LEC 1, TR, 4:00PM, 5:50PM, Fatima Fayyaz)
(CLCS 3211, LEC 1, MW, 2:00PM, 3:50PM, Zebunnisa Hamid)
(CLCS 3324, LEC 1, MW, 4:00PM, 5:50PM, Bilal Tanweer)
(CS 100, LEC 1, TR, 4:00PM, 4:50PM, Shafay Shamail)
(CS 100, LAB 1, T, 10:00AM, 12:50PM, Shafay Shamail)
(CS 100, LEC 2, TR, 5:00PM, 5:50PM, Maryam Mustafa)
(CS 100, LAB 2, T, 1:00PM, 3:50PM, Maryam Mustafa)
(CS 100, LEC 3, TR, 9:00AM, 9:50AM, Nadeem Ahmad Khan)
(CS 100, LAB 3, M, 11:30AM, 2:20PM, Nadeem Ahmad Khan)
(CS 100, LEC 4, TR, 8:00AM, 8:50AM, Malik Jahan Khan)
(CS 100, LAB 4, F, 2:00PM, 4:50PM, Malik Jahan Khan)
(CS 100, LEC 5, MW, 11:30AM, 12:20PM, Maryam Mustafa)
(CS 100, LAB 5, R, 1:00PM, 3:50PM, Maryam Mustafa)
(CS 200, LEC 1, MW, 2:30PM, 3:45PM, Mian Muhammad Awais)
(CS 200, LAB 1, W, 11:30AM, 2:20PM, Mian Muhammad Awais)
(CS 200, LEC 2, MW, 10:00AM, 11:15AM, Waqar Ahmad)
(CS 200, LAB 2, F, 8:00AM, 10:50AM, Waqar Ahmad)
(CS 200, LEC 3, MW, 9:00AM, 10:15AM, Shafay Shamail)
(CS 200, LAB 3, R, 10:00AM, 12:50PM, Shafay Shamail)
(CS 202, LEC 1, TR, 11:00AM, 12:15PM, Agha Ali Raza)
(CS 210, LEC 1, TR, 1:00PM, 2:50PM, Malik Jahan Khan)
(CS 210, LEC 2, MW, 2:00PM, 3:50PM, Imdad ullah khan)
(CS 225, LEC 1, MW, 4:00PM, 5:50PM, nan)
(CS 225, LEC 2, TR, 8:00AM, 9:50AM, nan)
(CS 310, LEC 1, MW, 2:30PM, 3:45PM, Basit Shafiq)
(CS 310, LEC 2, MW, 9:30AM, 10:45AM, Naveed Anwar Bhatti)
(CS 334, LEC 1, MW, 5:00PM, 6:15PM, Ihsan Ayyub Qazi)
(CS 340, LEC 1, MW, 11:00AM, 12:15PM, Maryam Abdul Ghafoor)
(CS 340, LEC 2, TR, 12:30PM, 1:45PM, Maryam Abdul Ghafoor)
(CS 370, LEC 1, MW, 2:30PM, 3:45PM, nan)
(CS 370, LEC 2, MW, 12:30PM, 1:45PM, Naveed Anwar Bhatti)
(CS 436, LEC 1, MW, 4:00PM, 5:15PM, Murtaza Taj)
(CS 452, LEC 1, MW, 8:00AM, 9:15AM, Murtaza Taj)
(CS 486, LEC 1, MW, 5:00PM, 6:15PM, Shafay Shamail)
(CS 501, LEC 1, MW, 2:00PM, 3:15PM, Momin Ayub Uppal)
(CS 510, LEC 1, MW, 8:00AM, 9:15AM, Imdad ullah khan)
(CS 535, LEC 1, TR, 2:00PM, 3:15PM, Agha Ali Raza)
(CS 582, LEC 1, MW, 1:00PM, 2:15PM, Zafar Ayyub Qazi)
(CS 589, LEC 1, TR, 5:00PM, 6:15PM, Basit Shafiq)
(CS 6712, LEC 1, TR, 11:00AM, 12:15PM, Mobin Javed)
(CS 682, LEC 1, MW, 4:00PM, 5:15PM, nan)
(DISC 112, LEC 1, MW, 9:30AM, 10:45AM, TBA)
(DISC 112, LAB 1, F, 10:00AM, 12:50PM, TBA)
(DISC 203, LEC 1, MW, 8:00AM, 9:15AM, Muhammad Asim)
(DISC 203, LEC 2, MW, 8:00AM, 9:15AM, Abid Raza Khan)
(DISC 203, LEC 3, TR, 8:00AM, 9:15AM, Abid Raza Khan)
(DISC 203, LEC 4, MW, 3:30PM, 4:45PM, Abid Raza Khan)
(DISC 203, LEC 5, TR, 3:30PM, 4:45PM, Abid Raza Khan)
(DISC 212, LEC 1, MW, 11:00AM, 12:15PM, Kamran Rashid)
(DISC 212, LEC 2, TR, 8:00AM, 9:15AM, nan)
(DISC 212, LEC 3, TR, 9:30AM, 10:45AM, nan)
(DISC 212, LEC 4, TR, 11:00AM, 12:15PM, nan)
(DISC 212, LEC 5, MW, 12:30PM, 1:45PM, Kamran Rashid)
(DISC 231, LEC 1, MW, 2:00PM, 3:15PM, Hassan Rauf Chaudhry)
(DISC 320, LEC 1, TR, 3:30PM, 4:45PM, Fariha Zahid)
(DISC 320, LEC 2, TR, 5:00PM, 6:15PM, Fariha Zahid)
(DISC 321, LEC 1, MW, 12:30PM, 2:20PM, nan)
(DISC 321, LEC 2, MW, 3:00PM, 4:50PM, nan)
(DISC 322, LEC 1, MW, 9:30AM, 10:45AM, Kamran Rashid)
(DISC 322, LAB 2, W, 1:00PM, 1:50PM, Rimsha Arif)
(DISC 322, LEC 2, TR, 12:00PM, 1:30PM, Rabia Khan)
(DISC 322, LAB 3, M, 12:30PM, 1:20PM, Eeman Shehzad Qureshi)
(DISC 322, LAB 4, W, 12:00PM, 12:50PM, Eeman Shehzad Qureshi)
(DISC 322, LEC 3, TR, 2:00PM, 3:30PM, Verda Arif)
(DISC 322, LAB 5, M, 2:30PM, 3:20PM, Eeman Shehzad Qureshi)
(DISC 322, LAB 6, W, 2:00PM, 2:50PM, Eeman Shehzad Qureshi)
